0.00,     6.83,     6.49,     6.83,     7.85,     0.00,     0.00,     0.00,     9.14,     7.60,     7.37,     7.60,     8.28,     0.00,     0.00,     0.00
6.83,     0.00,     7.51,     6.83,     6.83,     0.00,     0.00,     0.00,     7.60,     9.14,     8.06,     7.60,     7.60,     0.00,     0.00,     0.00
6.49,     7.51,     0.00,     7.51,     6.49,     0.00,     0.00,     0.00,     7.37,     8.06,     9.14,     8.06,     7.37,     0.00,     0.00,     0.00
6.83,     6.83,     7.51,     0.00,     6.83,     0.00,     0.00,     0.00,     7.60,     7.60,     8.06,     9.14,     7.60,     0.00,     0.00,     0.00
7.85,     6.83,     6.49,     6.83,     0.00,     0.00,     0.00,     0.00,     8.28,     7.60,     7.37,     7.60,     9.14,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
9.14,     7.60,     7.37,     7.60,     8.28,     0.00,     0.00,     0.00,     0.00,     6.83,     6.49,     6.83,     7.85,     0.00,     0.00,     0.00
7.60,     9.14,     8.06,     7.60,     7.60,     0.00,     0.00,     0.00,     6.83,     0.00,     7.51,     6.83,     6.83,     0.00,     0.00,     0.00
7.37,     8.06,     9.14,     8.06,     7.37,     0.00,     0.00,     0.00,     6.49,     7.51,     0.00,     7.51,     6.49,     0.00,     0.00,     0.00
7.60,     7.60,     8.06,     9.14,     7.60,     0.00,     0.00,     0.00,     6.83,     6.83,     7.51,     0.00,     6.83,     0.00,     0.00,     0.00
8.28,     7.60,     7.37,     7.60,     9.14,     0.00,     0.00,     0.00,     7.85,     6.83,     6.49,     6.83,     0.00,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
