0,	0,	-1,	0,	-0.445472,	-5.32179e-11
0,	0,	0,	-1,	-0.445472,	-5.32178e-11
0,	0,	1,	0,	-0.445472,	5.32174e-11
0,	0,	0,	1,	-0.445472,	5.32173e-11
0,	0,	0,	0,	0.154042,	6.7885e-18
0,	0,	1,	1,	0.10183,	-4.53333e-11
0,	0,	1,	-1,	0.10183,	-9.09079e-17
0,	0,	-1,	-1,	0.10183,	4.53334e-11
0,	0,	-1,	1,	0.10183,	-7.91218e-18
0,	0,	0,	-2,	-0.0650769,	1.54564e-11
0,	0,	-2,	0,	-0.0650769,	1.54565e-11
0,	0,	0,	2,	-0.0650769,	-1.54564e-11
0,	0,	2,	0,	-0.0650769,	-1.54564e-11
0,	0,	0,	-3,	-0.0277143,	4.27328e-11
0,	0,	-3,	0,	-0.0277143,	4.27328e-11
0,	0,	0,	3,	-0.0277143,	-4.27323e-11
0,	0,	3,	0,	-0.0277143,	-4.27323e-11
0,	0,	-2,	-1,	-0.00805856,	9.84836e-12
0,	0,	-1,	-2,	-0.00805856,	9.84837e-12
0,	0,	-2,	1,	-0.00805856,	8.05623e-12
0,	0,	1,	-2,	-0.00805856,	8.05631e-12
0,	0,	2,	1,	-0.00805856,	-9.84826e-12
0,	0,	-1,	2,	-0.00805856,	-8.05612e-12
0,	0,	2,	-1,	-0.00805856,	-8.05604e-12
0,	0,	1,	2,	-0.00805856,	-9.84827e-12
0,	0,	-3,	3,	-0.0075629,	2.81695e-17
0,	0,	3,	-3,	-0.0075629,	-7.99797e-17
0,	0,	-3,	-3,	-0.0075629,	4.30495e-13
0,	0,	3,	3,	-0.0075629,	-4.30471e-13
0,	0,	0,	0,	-0.00591272,	-9.32287e-12
0,	0,	0,	0,	-0.00591272,	9.32287e-12
0,	0,	-1,	-3,	-0.00571694,	1.5355e-11
0,	0,	-3,	-1,	-0.00571694,	1.53551e-11
0,	0,	-3,	1,	-0.00571694,	1.45743e-11
0,	0,	1,	-3,	-0.00571694,	1.45743e-11
0,	0,	1,	3,	-0.00571694,	-1.53547e-11
0,	0,	3,	1,	-0.00571694,	-1.53547e-11
0,	0,	3,	-1,	-0.00571694,	-1.45743e-11
0,	0,	-1,	3,	-0.00571694,	-1.45743e-11
0,	0,	-2,	-2,	-0.0050923,	5.08204e-12
0,	0,	-2,	2,	-0.0050923,	-4.98548e-17
0,	0,	2,	-2,	-0.0050923,	-1.0374e-16
0,	0,	2,	2,	-0.0050923,	-5.08233e-12
0,	0,	-2,	3,	-0.00414741,	-3.26372e-12
0,	0,	-2,	-3,	-0.00414741,	5.59707e-12
0,	0,	3,	-2,	-0.00414741,	-3.26378e-12
0,	0,	-3,	-2,	-0.00414741,	5.59706e-12
0,	0,	2,	3,	-0.00414741,	-5.59714e-12
0,	0,	3,	2,	-0.00414741,	-5.59715e-12
0,	0,	2,	-3,	-0.00414741,	3.26355e-12
0,	0,	-3,	2,	-0.00414741,	3.26361e-12
0,	0,	-1,	-1,	0.00302306,	4.81558e-12
0,	0,	1,	-1,	0.00302306,	4.11354e-12
0,	0,	-1,	1,	0.00302306,	4.11356e-12
0,	0,	1,	1,	0.00302306,	-4.8155e-12
0,	0,	-1,	1,	0.00302306,	-4.11355e-12
0,	0,	1,	1,	0.00302306,	3.41138e-12
0,	0,	-1,	-1,	0.00302306,	-3.41134e-12
0,	0,	1,	-1,	0.00302306,	-4.11349e-12
0,	0,	0,	-2,	-0.00164316,	-2.66367e-12
0,	0,	-2,	0,	-0.00164316,	-2.66365e-12
0,	0,	0,	-2,	-0.00164316,	2.76207e-12
0,	0,	-2,	0,	-0.00164316,	2.76208e-12
0,	0,	0,	2,	-0.00164316,	-2.76199e-12
0,	0,	2,	0,	-0.00164316,	-2.762e-12
0,	0,	0,	2,	-0.00164316,	2.66368e-12
0,	0,	2,	0,	-0.00164316,	2.66366e-12
0,	0,	-3,	0,	-0.0015966,	-7.77336e-13
0,	0,	0,	-3,	-0.0015966,	-7.77346e-13
0,	0,	0,	-3,	-0.0015966,	1.01628e-12
0,	0,	-3,	0,	-0.0015966,	1.01626e-12
0,	0,	3,	0,	-0.0015966,	-1.01642e-12
0,	0,	0,	3,	-0.0015966,	-1.01644e-12
0,	0,	3,	0,	-0.0015966,	7.77411e-13
0,	0,	0,	3,	-0.0015966,	7.77412e-13
