0,	0,	-1,	0,	-0.478696,	-2.11965e-11
0,	0,	0,	-1,	-0.478696,	-2.11965e-11
0,	0,	0,	1,	-0.478696,	2.11952e-11
0,	0,	1,	0,	-0.478696,	2.11953e-11
0,	0,	1,	1,	0.101879,	-1.94143e-11
0,	0,	-1,	-1,	0.101879,	1.94158e-11
0,	0,	-1,	1,	0.101879,	7.15393e-16
0,	0,	1,	-1,	0.101879,	8.62194e-16
0,	0,	0,	0,	-0.0914681,	3.39274e-18
0,	0,	0,	-2,	-0.0726559,	1.06651e-11
0,	0,	-2,	0,	-0.0726559,	1.06651e-11
0,	0,	0,	2,	-0.0726559,	-1.0665e-11
0,	0,	2,	0,	-0.0726559,	-1.0665e-11
0,	0,	3,	0,	-0.0213698,	-2.79201e-11
0,	0,	0,	3,	-0.0213698,	-2.79199e-11
0,	0,	-3,	0,	-0.0213698,	2.79203e-11
0,	0,	0,	-3,	-0.0213698,	2.79201e-11
0,	0,	2,	1,	-0.00500328,	-4.53857e-12
0,	0,	1,	2,	-0.00500328,	-4.5385e-12
0,	0,	-2,	-1,	-0.00500328,	4.53832e-12
0,	0,	-1,	-2,	-0.00500328,	4.53824e-12
0,	0,	2,	-1,	-0.00500328,	-3.77397e-12
0,	0,	-1,	2,	-0.00500328,	-3.77389e-12
0,	0,	-2,	1,	-0.00500328,	3.77416e-12
0,	0,	1,	-2,	-0.00500328,	3.77407e-12
0,	0,	1,	-3,	-0.00495283,	7.07315e-12
0,	0,	-3,	1,	-0.00495283,	7.07324e-12
0,	0,	-1,	3,	-0.00495283,	-7.07319e-12
0,	0,	3,	-1,	-0.00495283,	-7.07327e-12
0,	0,	-1,	-3,	-0.00495283,	6.98143e-12
0,	0,	-3,	-1,	-0.00495283,	6.98138e-12
0,	0,	1,	3,	-0.00495283,	-6.98139e-12
0,	0,	3,	1,	-0.00495283,	-6.98133e-12
0,	0,	2,	2,	0.00429351,	-3.47373e-12
0,	0,	-2,	-2,	0.00429351,	3.47348e-12
0,	0,	2,	-2,	0.00429351,	-3.70035e-17
0,	0,	-2,	2,	0.00429351,	-1.52363e-16
0,	0,	0.5,	0.5,	0.00219065,	-2.39276e-12
0,	0,	-0.5,	-0.5,	0.00219065,	2.39276e-12
0,	0,	0.5,	0.5,	0.00219065,	-3.52281e-12
0,	0,	-0.5,	-0.5,	0.00219065,	3.52282e-12
0,	0,	0.5,	-0.5,	0.00219065,	-1.52289e-11
0,	0,	-0.5,	0.5,	0.00219065,	-1.52289e-11
0,	0,	-0.5,	0.5,	0.00219065,	1.52288e-11
0,	0,	0.5,	-0.5,	0.00219065,	1.52288e-11
0,	0,	3,	2,	-0.00105875,	-2.23595e-12
0,	0,	-3,	-2,	-0.00105875,	2.23589e-12
0,	0,	2,	3,	-0.00105875,	-2.23594e-12
0,	0,	-2,	-3,	-0.00105875,	2.23588e-12
0,	0,	3,	-2,	-0.00105875,	-1.41688e-12
0,	0,	-2,	3,	-0.00105875,	-1.41685e-12
0,	0,	-3,	2,	-0.00105875,	1.41671e-12
0,	0,	2,	-3,	-0.00105875,	1.41668e-12
