0, 0, 0, 0, -7.6, 0, 1
1, 1, 0, 0, -3.2, 0, 1
2, 2, 0, 0, -3.2, 0, 1
0,	1,	0.5,	0, 1.13,	0, 1
0,	1,	-0.5,	0, -1.13,	0, 1
1,	0,	0.5,	0, -1.13,	0, 1
1,	0,	-0.5,	0, 1.13,	0, 1
0,	2,	0,	0.5, -1.13,	0, 1
0,	2,	0,	-0.5, 1.13,	0, 1
2,	0,	0,	0.5, 1.13,	0, 1
2,	0,	0,	-0.5, -1.13,	0, 1
1,	2,	0.5,	0.5, -0.49,	0, 1
1,	2,	0.5,	-0.5, 0.49,	0, 1
1,	2,	-0.5,	0.5, 0.49,	0, 1
1,	2,	-0.5,	-0.5, -0.49,	0, 1
2,	1,	0.5,	0.5, -0.49,	0, 1
2,	1,	0.5,	-0.5, 0.49,	0, 1
2,	1,	-0.5,	0.5, 0.49,	0, 1
2,	1,	-0.5,	-0.5, -0.49,	0, 1
